priority,tier,session,signal,q,body,source,topics,title,url,path
53,1,v2-overnight,8,0.96,6117,typographica.org,Typography & Type|AI & Design,ABC Laica &#8211; Typographica,https://typographica.org/typeface-reviews/laica/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180427-q95-abc-laica-8211-typographica.md
54,1,v2-overnight,8,1.00,6071,www.pentagram.com,Branding & Identity|Editorial & Print,Work — Browse by type of client,https://www.pentagram.com/work?page=2,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183146-q100-work-browse-by-type-of-client.md
55,1,v2-overnight,8,0.92,6061,www.pentagram.com,Branding & Identity|AI & Design,Events,https://www.pentagram.com/news/category/events,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183239-q91-events.md
56,1,v2-overnight,8,0.90,5861,typographica.org,Typography & Type|Editorial & Print,FUSE 1–20 &#8211; Typographica,https://typographica.org/typography-books/fuse-1-20/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180451-q89-fuse-1-20-8211-typographica.md
57,1,v2-overnight,8,0.97,5722,webdesignerdepot.com,Web & UI|Typography & Type,Why Every Web Designer Secretly Hates Their Past Work,https://webdesignerdepot.com/why-every-web-designer-secretly-hates-their-past-work/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172508-q96-why-every-web-designer-secretly-hates-their-past-w.md
58,1,v2-overnight,8,0.79,5705,eyeondesign.aiga.org,Typography & Type|Movement & History,Poster Picks &#8211; Eye on Design,https://eyeondesign.aiga.org/category/design-series/poster-picks/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c3-20260603-100101-q79-poster-picks-8211-eye-on-design.md
59,1,v2-overnight,8,1.00,5319,www.pentagram.com,Web & UI|Typography & Type,Commentary,https://www.pentagram.com/news/category/commentary,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183248-q100-commentary.md
60,1,v2-overnight,8,0.87,5138,www.pentagram.com,Process & Studio|Color & Palette,IEEE Honors Ceremony 2026,https://www.pentagram.com/work/ieee-honors-ceremony-2026,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183202-q86-ieee-honors-ceremony-2026.md
61,1,v2-overnight,8,0.86,5085,eyeondesign.aiga.org,Typography & Type|Color & Palette,Design + Art &#8211; Eye on Design,https://eyeondesign.aiga.org/category/design-plus/art/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095858-q85-design-art-8211-eye-on-design.md
62,1,v2-overnight,8,0.90,5043,www.pentagram.com,Branding & Identity|Process & Studio,Bait,https://www.pentagram.com/work/bait,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183420-q90-bait.md
63,1,v1-PROMPT-EXPLORE,7,0.90,198488,glyphsapp.com,Typography & Type,Glyphs Tutorials,https://glyphsapp.com/learn/feed,/tmp/design-study/auto-v5/design/a-20260604-002010-q9D-glyphs-tutorials.md
64,1,v1-PROMPT-EXPLORE,7,0.89,52268,emigre.com,Color & Palette|Editorial & Print,Emigre: Past Projects,https://www.emigre.com/PastProjects,/tmp/design-study/auto-v5/design/a-20260604-013306-q8D-emigre-past-projects.md
65,1,v1-PROMPT-EXPLORE,7,0.91,33435,smashingmagazine.com,Typography & Type|Color & Palette,When Words Cannot Describe: Designing For AI Beyond Conversational Interfaces,https://www.smashingmagazine.com/2024/02/designing-ai-beyond-conversational-interfaces,/tmp/design-study/auto-v5/design/a-20260603-182025-q9D-when-words-cannot-describe-designing-for-ai-beyon.md
